,상품ID,상품명,영문명,설명,SINGLE,TOP,MIDDLE,BASE,가격,정가,이미지,대표이미지,링크,OCR텍스트
0,210,다이빙 체팔루 스피아자,Diving Cefalu Spiaggia,다이빙 체팔루스피아자 시원한 라임의 시트러스 향과 편안한 느낌을 주는 가득 머금은 베티버와 바질 향으로 시원하고 깊은 바다를 표현한 향기,,"레몬, 베르가못, 바질","머틀, 장미, 쟈스민","시더우드, 엠버, 씨브리즈어코드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/afeb30d4c41f9.jpg,https://gi.esmplus.com/youssoful/2024/17.jpg,https://www.youssoful.co.kr/68/?idx=210,"Diving Cefalu Spiaggia 다이빙 체팔루스피아자 시원한 라임의 시트러스 향과 편안한 느낌을 주는 가득 머금은 베티버와 바질 향으로 시원하고 깊은 바다를 표현한 향기 YOUSSOFUL cefalu DIVIB sidders EXPANDEDABABULUM SOUT 1960 OR TOP 레몬, 베르가못, 바질 MIDDLE 머틀, 장미, 쟈스민 LAST 시더우드, 엠버, 씨브리즈어코드"
1,267,다이키리,Daiquiri,"모히토의 상쾌함과 시원한 해풍의 향기로 시작해, 잔잔한 우디 머스크의 잔향으로 쿠바의 여유롭고 세련된 오후를 완성합니다.",,"모히토, 레몬, 오렌지","아쿠아틱 노트, 씨센트, 자스민, 은방울꽃, 페퍼민트, 유칼립투스","가죽, 엠버, 머스크, 베티버, 샌달우드, 시더우드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/6805cb9e5bd93.jpg,https://gi.esmplus.com/youssoful/2024/18_1.jpg,https://www.youssoful.co.kr/68/?idx=267,"Daiquiri 다이키리 모히토의 상쾌함과 시원한 해풍의 향기로 시작해, 잔잔한 우디 머스크의 잔향으로 쿠바의 여유롭고 세련된 오후를 완성합니다. YOUSSOFUL Daiquiri EXTRAITDEPARFUM 50ml[]1.69fl.oz TOP 모히토, 레몬, 오렌지 MIDDLE 아쿠아틱 노트, 씨센트, 자스민, 은방울꽃, 페퍼민트, 유칼립투스 LAST 가죽, 엠버, 머스크, 베티버, 샌달우드, 시더우드"
2,187,디망쉬 아 파리,Dimanche A Paris,진한 라즈베리와 딸기의 달콤한 향기에 향긋한 플로럴 노트가 은은하고 진하게 퍼지는 달콤한 향기,,"베르가못, 배, 라즈베리, 딸기","작약꽃, 쟈스민, 오렌지꽃","패츌리, 화이트머스크",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/40ae1d74f9acc.jpg,https://gi.esmplus.com/youssoful/2024/08.jpg,https://www.youssoful.co.kr/68/?idx=187,"Dimanche A Paris 디망쉬 아 파리 진한 라즈베리와 딸기의 달콤한 향기에 향긋한 플로럴 노트가 은은하고 진하게 퍼지는 달콤한 향기 YOUSSOF Dimanche aparis EXTRAITDEPARFUM 50ml01.69fl.oz TOP MIDDLE 베르가못, 배, 라즈베리, 딸기 LAST 작약꽃, 쟈스민, 오렌지꽃 패츌리, 화이트머스크"
3,188,루르드,Lourdes,햇볕이 비춘 정원을 거닐며 바람에 흔들리는 싱그러운 토마토 줄기와 튜베로즈의 향기를 맡는 듯한 향,,"토마토줄기, 아이비, 장미","핑크페퍼, 튜베로즈","아이리스, 머스크, 화이트머스크, 벤조인, 엠버, 화이트 우드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/2f72d6a736bea.jpg,https://gi.esmplus.com/youssoful/2024/09.jpg,https://www.youssoful.co.kr/68/?idx=188,"Lourdes 루르드 햇볕이 비춘 정원을 거닐며 바람에 흔들리는 싱그러운 토마토 줄기와 튜베로즈의 향기를 맡는 듯한 향 YOUSSOFUL Lourdes EXTRAITDEPARFUM 50ml[1.69floz TOP 토마토줄기, 아이비, 장미 MIDDLE 핑크페퍼, 튜베로즈 LAST 아이리스, 머스크, 화이트머스크, 벤조인, 엠버, 화이트 우드"
4,180,메리스 가든,Mary's Garden,메리스가든 향긋한 플로럴 노트에 레드베리의 달콤함이 녹아 햇살 가득한날의 기분 좋은 향기,,"레드베리, 배","프랑지파니, 가드니아","황설탕, 패츌리, 머스크, 엠버",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/864838a7b00a0.jpg,https://gi.esmplus.com/youssoful/2024/02.jpg,https://www.youssoful.co.kr/68/?idx=180,"Mary's Garden 메리스가든 향긋한 플로럴 노트에 레드베리의 달콤함이 녹아 햇살 가득한날의 기분 좋은 향기 OUSSOFUL Mary's garden EXTRAIT DE PARFUM 50ml [1] 1.69 fl.oz TOP 레드베리, 배 MIDDLE 프랑지파니, 가드니아 LAST 황설탕, 패츌리, 머스크, 엠버"
5,206,버로우 런던,Borough London,버로우런던 한가득 시원한 배 향으로 시작 하여 봄의 향기를 담은 프리지아 향기가 시간이 지날수록 진해지 예쁜 향기,,배,프리지아,"프랄린, 패츌리, 엠버, 우드노트",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/db484655d387d.jpg,https://gi.esmplus.com/youssoful/2024/11.jpg,https://www.youssoful.co.kr/68/?idx=206,"Borough London 버로우런던 한가득 시원한 배 향으로 시작 하여 봄의 향기를 담은 프리지아 향기가 시간이 지날수록 진해지 예쁜 향기 FUL Borough london EXTRAIT DE PARFUM 50ml[] 1.69 fl.oz TOP 배 MIDDLE 프리지아 LAST 프랄린, 패츌리, 엠버, 우드노트"
6,193,베리느와르,Berry Noir,베리 느와르 새벽에 바닷가를 산책하는 듯 청량한 자몽향과 은은한 물내음이 느껴지는향,,"자몽, 블랙베리","씨센트, 베이","로즈우드, 샌달우드, 시더우드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/4e761ef52055c.jpg,https://gi.esmplus.com/youssoful/2024/16.jpg,https://www.youssoful.co.kr/68/?idx=193,"Berry Noir 베리 느와르 새벽에 바닷가를 산책하는 듯 청량한 자몽향과 은은한 물내음이 느껴지는향 OUSSOFU Berry noir EXTRAITDEPARFUM: 50ml[]1.69floz TOP 자몽, 블랙베리 MIDDLE 씨센트, 베이 LAST 로즈우드, 샌달우드, 시더우드"
7,181,베리섹시,Berry Sexy,은은한 로즈향과 부드러운 크림위에 상큼한 사과와 딸기향으로 섹시하면서 귀엽고 사랑스러움이 넘치는 유쏘풀의 시그니쳐 향기,,"사과, 딸기",장미,"바닐라, 휘핑크림 어코드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/0f96f442a71bf.jpg,https://gi.esmplus.com/youssoful/2024/03.jpg,https://www.youssoful.co.kr/68/?idx=181,"Berry Sexy 베리섹시 은은한 로즈향과 부드러운 크림위에 상큼한 사과와 딸기향으로 섹시하면서 귀엽고 사랑스러움이 넘치는 유쏘풀의 시그니쳐 향기 YOUSSON Berry sexy EXTRAIT DE PARFUM 50ml[1]69fl.oz TOP 사과, 딸기 MIDDLE LAST 장미 바닐라, 휘핑크림 어코드"
8,212,부르즈 로얄,Burj Royal,처음부터 끝까지 진하게 풍기는 크리미하고 이국적인 튜베로즈 향에 향긋한 여러 플로럴 노트와 머스키함이 관능적이고 우아한 향기,,클라리세이지,튜베로즈. 자스민 일랑일랑,"벤조인, 캐시메란, 엠버",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/ee20d7939ddbd.jpg,https://gi.esmplus.com/youssoful/2024/25.jpg,https://www.youssoful.co.kr/68/?idx=212,"Burj Royal 부르즈 로얄 처음부터 끝까지 진하게 풍기는 크리미하고 이국적인 튜베로즈 향에 향긋한 여러 플로럴 노트와 머스키함이 관능적이고 우아한 향기 YOUSS O F Burj royal EXTRAIT DE PARFUM 50ml[]1.69fl.oz TOP 클라리세이지 MIDDLE 튜베로즈, 쟈스민 일랑일랑 LAST 벤조인, 캐시메란, 엠버"
9,233,비오베,Biove,지중해에서 불어오는 시원한 바람같은 허브향을 시작으로 잔향으로 레몬의 상큼함과 무화과의 달콤함이 퍼지는 기분 좋은 향기,,"무화과, 만다린, 레몬, 세이지","뮤게, 메그놀리아","패츌리, 베티버, 샌달우드, 로즈우드",58000,58000,https://cdn-optimized.imweb.me/upload/S20201201599de0c88a3f5/6556e5b449ef8.jpg,https://gi.esmplus.com/youssoful/2024/14.jpg,https://www.youssoful.co.kr/68/?idx=233,"Biove 비오베 지중해에서 불어오는 시원한 바람같은 허브향을 시작으로 잔향으로 레몬의 상큼함과 무화과의 달콤함이 퍼지는 기분 좋은 향기 YOUSSO FUL Biove EXTRAIT DEPARFUM 50ml[1]6.9floz TOP 무화과, 만다린, 레몬, 세이지 MIDDLE 뮤게, 메그놀리아 LAST 패츌리, 베티버, 샌달우드, 로즈우드"
